,marketPriceBTCInUSD,tradeVolume,medianConfirmationTime,blocksSize,costPerTransactionPercent,difficulty,hashRate,numberOfTransactionsPerBlock,totalTransactions,totalAdressesTransactions,numberOfcirculatingBitcoins,marketCapitalization
2016-16-10:05,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:06,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:07,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:08,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:09,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:10,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:11,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:12,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:13,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:14,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:15,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:16,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:17,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:18,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:19,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:20,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:21,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:22,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:23,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-17-10:00,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
2016-17-10:01,638.1833875,15611329.7691,11.2666666667,86478.077483,0.64175241767,1001040.495,1606404.44107,1897.856,163829425,435282,15934475.0,10182607559.2
