date;Bitcoin
2016-02-14;32
2016-02-15;33
2016-02-16;32
2016-02-17;34
2016-02-18;40
2016-02-19;37
2016-02-20;33
2016-02-21;33
2016-02-22;32
2016-02-23;32
2016-02-24;30
2016-02-25;30
2016-02-26;29
2016-02-27;31
2016-02-28;29
2016-02-29;29
2016-03-01;31
2016-03-02;30
2016-03-03;34
2016-03-04;31
2016-03-05;32
2016-03-06;30
2016-03-07;30
2016-03-08;29
2016-03-09;28
2016-03-10;28
2016-03-11;30
2016-03-12;27
2016-03-13;28
2016-03-14;30
2016-03-15;30
2016-03-16;29
2016-03-17;29
2016-03-18;28
2016-03-19;27
2016-03-20;26
2016-03-21;27
2016-03-22;28
2016-03-23;29
2016-03-24;29
2016-03-25;28
2016-03-26;27
2016-03-27;27
2016-03-28;30
2016-03-29;28
2016-03-30;29
2016-03-31;30
2016-04-01;27
2016-04-02;26
2016-04-03;26
2016-04-04;27
2016-04-05;29
2016-04-06;29
2016-04-07;30
2016-04-08;28
2016-04-09;28
2016-04-10;30
2016-04-11;31
2016-04-12;30
2016-04-13;29
2016-04-14;29
2016-04-15;28
2016-04-16;28
2016-04-17;27
2016-04-18;28
2016-04-19;27
2016-04-20;29
2016-04-21;32
2016-04-22;33
2016-04-23;30
2016-04-24;32
2016-04-25;35
2016-04-26;33
2016-04-27;32
2016-04-28;37
2016-04-29;33
2016-04-30;30
2016-05-01;31
2016-05-02;100
2016-05-03;61
2016-05-04;42
2016-05-05;45
2016-05-06;39
2016-05-07;35
2016-05-08;36
2016-05-09;37
2016-05-10;37
2016-05-11;35
2016-05-12;34
2016-05-13;31
2016-05-14;29
2016-05-15;30
2016-05-16;30
2016-05-17;31
2016-05-18;32
2016-05-19;34
2016-05-20;32
2016-05-21;28
2016-05-22;29
2016-05-23;32
2016-05-24;30
2016-05-25;31
2016-05-26;29
2016-05-27;34
2016-05-28;39
2016-05-29;41
2016-05-30;46
2016-05-31;44
2016-06-01;40
2016-06-02;50
2016-06-03;52
2016-06-04;54
2016-06-05;51
2016-06-06;51
2016-06-07;52
2016-06-08;47
2016-06-09;48
2016-06-10;47
2016-06-11;46
2016-06-12;66
2016-06-13;80
2016-06-14;67
2016-06-15;58
2016-06-16;74
2016-06-17;73
2016-06-18;62
2016-06-19;61
2016-06-20;61
2016-06-21;71
2016-06-22;61
2016-06-23;64
2016-06-24;90
2016-06-25;64
2016-06-26;59
2016-06-27;59
2016-06-28;56
2016-06-29;56
2016-06-30;53
2016-07-01;55
2016-07-02;51
2016-07-03;52
2016-07-04;52
2016-07-05;53
2016-07-06;53
2016-07-07;55
2016-07-08;53
2016-07-09;68
2016-07-10;59
2016-07-11;54
2016-07-12;51
2016-07-13;51
2016-07-14;50
2016-07-15;47
2016-07-16;43
2016-07-17;47
2016-07-18;45
2016-07-19;46
2016-07-20;45
2016-07-21;42
2016-07-22;44
2016-07-23;40
2016-07-24;43
2016-07-25;44
2016-07-26;45
2016-07-27;49
2016-07-28;46
2016-07-29;41
2016-07-30;44
2016-07-31;45
2016-08-01;48
2016-08-02;54
2016-08-03;100
2016-08-04;65
2016-08-05;55
2016-08-06;47
2016-08-07;47
2016-08-08;49
2016-08-09;48
2016-08-10;44
2016-08-11;46
2016-08-12;42
2016-08-13;41
2016-08-14;42
2016-08-15;45
2016-08-16;45
2016-08-17;44
2016-08-18;47
2016-08-19;43
2016-08-20;38
2016-08-21;41
2016-08-22;43
2016-08-23;44
2016-08-24;44
2016-08-25;45
2016-08-26;43
2016-08-27;41
2016-08-28;41
2016-08-29;42
2016-08-30;41
2016-08-31;42
2016-09-01;41
2016-09-02;43
2016-09-03;41
2016-09-04;45
2016-09-05;47
2016-09-06;43
2016-09-07;43
2016-09-08;46
2016-09-09;44
2016-09-10;44
2016-09-11;46
2016-09-12;46
2016-09-13;47
2016-09-14;45
2016-09-15;44
2016-09-16;45
2016-09-17;42
2016-09-18;43
2016-09-19;45
2016-09-20;44
2016-09-21;45
2016-09-22;43
2016-09-23;43
2016-09-24;40
2016-09-25;39
2016-09-26;43
2016-09-27;43
2016-09-28;41
2016-09-29;43
2016-09-30;41
2016-10-01;41
2016-10-02;38
2016-10-03;41
2016-10-04;43
2016-10-05;42
